Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Netherlands,Afghanistan,Export,Food Products,Export (US$ Thousand),82.483,74.537,60.175,,450.19,68.203,39.891,239.247,223.684,100.324,417.599,1022.451,2250.575,3549.427,10275.618,9902.189,15235.344,21617.111,27136.385,27067.506,19208.499,13058.592
Netherlands,Albania,Export,Food Products,Export (US$ Thousand),369.732,678.654,771.204,510.978,1990.094,1708.692,1119.038,10082.237,5129.103,5060.1,1822.506,1513.317,3081.634,4887.614,2903.405,3875.486,5111.849,7281.979,6041.36,4869.151,6062.838,8782.27
Netherlands,Algeria,Export,Food Products,Export (US$ Thousand),1345.907,29125.143,4586.266,3726.585,21099.499,6683.017,4115.637,9328.736,3809.085,8866.147,10603.415,8788.097,17348.966,42642.874,41724.36,34284.932,36180.81,36934.521,36742.878,85983.083,149244.304,267393.424
Netherlands,American Samoa,Export,Food Products,Export (US$ Thousand),,,,,,,,,,10.749,10.393,,18.661,,,,,,,,33.109,
Netherlands,Andorra,Export,Food Products,Export (US$ Thousand),1110.288,1188.55,1554.962,5219.96,4939.47,6286.104,5048.346,3161.936,2391.495,1833.603,2267.504,3514.108,5750.229,9198.165,4056.727,3525.413,4080.342,5489.042,7256.262,7774.395,9851.183,10202.02
Netherlands,Angola,Export,Food Products,Export (US$ Thousand),12158.109,11249.941,5009.242,7823.859,6732.894,6274.252,7083.895,4234.412,3592.766,3598.233,3486.286,10313.856,6174.465,9505.349,12342.3,14031.645,23298.774,20750.64,22266.16,31049.662,24950.022,41865.244
Netherlands,Anguila,Export,Food Products,Export (US$ Thousand),,7.969,0.59,34.618,6.324,1.025,,,128.872,238.27,487.513,567.777,534.963,524.828,635.709,608.161,592.379,443.7,460.231,336.783,406.676,387.737
Netherlands,Antarctica,Export,Food Products,Export (US$ Thousand),,,,,,,,,,27.768,,,,39.797,,,,,,,,1.635
Netherlands,Antigua and Barbuda,Export,Food Products,Export (US$ Thousand),149.894,86.597,99.475,175.345,144.164,125.631,129.267,106.81,253.142,124.51,21.73,219.42,353.323,273.608,532.688,348.698,596.799,693.455,610.105,574.53,1152.001,1256.524
Netherlands,Argentina,Export,Food Products,Export (US$ Thousand),17309.894,9798.646,10064.857,10647.593,14241.316,15792.18,15142.523,11094.343,8699.774,7484.899,3690.363,3681.501,4805.957,5515.664,8837.106,12205.787,14838.95,14254.204,22242.287,19385.398,24586.57,31386.704
Netherlands,Armenia,Export,Food Products,Export (US$ Thousand),11.081,661.25,657.282,2118.547,4293.373,3634.325,1505.356,475.59,728.126,849.173,1338.772,2469.037,2753.192,3433.765,3541.627,3876.857,5769.067,3972.369,5792.013,10245.453,7084.303,6506.391
Netherlands,Aruba,Export,Food Products,Export (US$ Thousand),10397.354,6844.945,7712.489,7720.693,9449.542,9467.561,8329.2,9469.837,9273.253,11506.821,14654.686,17329.631,19763.762,21414.712,22477.208,13423.484,16095.915,19486.516,16401.2,17506.868,18388.317,21456.406
Netherlands,Australia,Export,Food Products,Export (US$ Thousand),45619.343,27729.224,34797.559,42695.66,36792.2,46030.927,30270.395,47438.809,49147.143,33895.226,43886.585,56764.101,74942.058,130363.723,139143.6,145616.924,129063.503,118167.866,140207.312,275840.943,304269.38,348112.318
Netherlands,Austria,Export,Food Products,Export (US$ Thousand),81230.57,60064.711,70325.39,126481.843,129590.417,126239.069,103305.124,116214.706,113843.6,99773.251,148581.94,195784.57,241675.009,253122.418,242090.741,338155.634,391499.252,400179.564,473716.941,520268.537,397696.331,430275.208
Netherlands,Azerbaijan,Export,Food Products,Export (US$ Thousand),1244.694,585.902,2733.33,8743.799,6754.724,2678.412,1867.424,514.733,230.13,382.486,1050.609,1185.318,1081.123,1124.276,1289.006,2110.032,3563.116,3613.782,5522.772,9550.748,13182.058,20742.417
Netherlands,"Bahamas, The",Export,Food Products,Export (US$ Thousand),216.711,188.625,184.613,157.62,174.073,495.888,356.011,504.592,512.726,682.563,682.14,717.073,668.081,518.609,675.912,841.542,769.209,908.329,948.314,833.327,899.222,690.952
Netherlands,Bahrain,Export,Food Products,Export (US$ Thousand),6827.664,5917.846,6257.502,6696.054,8138.722,7013.259,4724.622,7473.215,7259.171,7750.936,8752.563,9205.448,12854.036,11870.807,14965.54,13936.92,16051.708,12644.049,13749.898,19452.817,22217.434,21359.244
Netherlands,Bangladesh,Export,Food Products,Export (US$ Thousand),3590.721,3689.847,3272.666,3184.989,3155.909,4453.795,4826.157,5716.337,6515.397,6203.077,6477.502,3235.875,3875.37,4388.903,4726.356,7974.74,10932.49,16204.811,21730.33,12947.518,17686.407,20172.59
Netherlands,Barbados,Export,Food Products,Export (US$ Thousand),360.09,506.449,458.925,600.63,601.038,618.453,595.881,378.927,470.384,622.547,701.035,1141.208,1015.184,1247.398,1350.567,1323.404,1308.539,1702.245,2185.765,2468.385,2311.685,1924.724
Netherlands,Belarus,Export,Food Products,Export (US$ Thousand),780.485,2823.797,2853.121,5311.921,15778.688,4844.047,2877.391,1854.042,1533.575,1424.245,4294.084,7746.42,13082.95,11839.715,18235.797,19281.327,19057.809,13262.16,17019.262,21067.488,16562.189,20845.528
Netherlands,Belgium,Export,Food Products,Export (US$ Thousand),,,,,,,,1452080.322,1232966.305,1252319.324,1467261.779,1778406.767,2110788.737,2051202.083,2162697.803,2595159.608,3087397.599,2833061.017,2933254.954,3937168.936,4018158.045,4643437.241
Netherlands,Belgium-Luxembourg,Export,Food Products,Export (US$ Thousand),1499115.592,1498061.692,1685590.696,1915746.92,1722403.904,1408922.556,1413695.372,,,,,,,,,,,,,,,
Netherlands,Belize,Export,Food Products,Export (US$ Thousand),222.288,152.845,124.63,104.618,147.361,209.738,110.081,239.728,179.5,285.745,413.819,617.542,752.68,1798.345,1276.442,1937.056,2309.1,2148.735,2417.871,2714.921,2761.61,2478.77
Netherlands,Benin,Export,Food Products,Export (US$ Thousand),4181.987,3833.051,2365.219,1876.792,1644.217,2141,1738.656,1232.484,616.745,1658.035,3428.654,3877.168,4594.459,4564.261,4100.699,3999.039,6147.776,3910.978,4578.436,4070.503,2954.862,3969.134
Netherlands,Bermuda,Export,Food Products,Export (US$ Thousand),2778.187,2818.995,1728.9,2828.804,4355.09,3536.894,1732.099,2626.41,2232.247,1999.317,2337.419,2979.131,3556.879,3110.413,3728.822,4519.34,3866.673,3316.587,3221.616,3323.972,2719.27,2474.257
Netherlands,Bhutan,Export,Food Products,Export (US$ Thousand),22.497,,,23.301,2.563,,,1.449,,,,53.158,,,,,,,,,87.461,
Netherlands,Bolivia,Export,Food Products,Export (US$ Thousand),149.248,77.562,210.759,196.8,166.591,283.072,763.536,519.092,269.712,515.058,513.968,968.16,656.884,961.354,1021.406,996.671,1676.935,933.444,2083.64,2605.538,2719.396,3029.347
Netherlands,Bonaire,Export,Food Products,Export (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,6572.828
Netherlands,Bosnia and Herzegovina,Export,Food Products,Export (US$ Thousand),71.249,1877.709,1070.439,3038.847,4426.338,4911.726,5378.088,5839.575,5499.149,3637.645,4977.17,7288.354,10618.389,10847.268,7721.477,8427.774,11778.326,14259.787,12097.312,11064.586,8739.173,7238.715
Netherlands,Botswana,Export,Food Products,Export (US$ Thousand),,,,,,,,,,0.896,,,,85.813,,,51.575,37.673,,,,
Netherlands,Brazil,Export,Food Products,Export (US$ Thousand),1772.394,6524.595,7223.176,33467.824,20049.171,32845.383,32326.216,19060.101,24955.123,18993.51,23329.776,27212.565,34166.701,38803.672,43441.779,69961.91,78612.545,73224.422,125392.384,141655.539,178688.578,191049.825
Netherlands,British Indian Ocean Ter.,Export,Food Products,Export (US$ Thousand),90.234,,,10.198,,,,10.149,,,,,,,43.972,56.286,,,,,32.31,26.037
Netherlands,British Virgin Islands,Export,Food Products,Export (US$ Thousand),1179.115,1111.722,832.359,1347.365,1503.718,1037.938,284.811,839.06,808.211,943.226,1191.385,1529.152,2498.151,1492.401,1434.742,1655.627,1942.179,2355.237,2892.692,1210.567,1237.201,1047.681
Netherlands,Brunei,Export,Food Products,Export (US$ Thousand),170.476,181.815,239.871,223.738,89.724,146.657,169.66,148.373,185.943,207.814,223.917,245.432,273.702,179.088,214.833,234.753,374.289,668.341,713.558,685.881,773.095,456.241
Netherlands,Bulgaria,Export,Food Products,Export (US$ Thousand),4921.619,11829.473,9551.405,15869.857,12508.196,12369.126,13089.744,11008.303,9658.95,15101.47,30033.082,47963.561,53307.168,29974.876,43081.209,45697.227,71412.633,65052.253,52415.933,65994.795,56739.108,73708.377
Netherlands,Bunkers,Export,Food Products,Export (US$ Thousand),,,,,86.549,,412.56,,,,1243.348,1919.356,2495.663,12531.195,25140.651,21779.871,3576.377,1494.349,6745.633,10935.73,19220.254,21900.91
Netherlands,Burkina Faso,Export,Food Products,Export (US$ Thousand),201.955,176.758,105.974,156.651,153.25,102.56,245.416,93.759,185.024,762.284,1009.984,1143.471,1377.219,1925.199,4099.443,932.149,1025.612,1243.197,932.399,2935.966,3378.779,5553.386
