Country_code,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013
CYP,408,406,409,455,509,538,573,628,693,699,740,732,734,670,633,637,649,682,716,784,887,912,943,1005,1038,971,1031,1042,1113,1160,1150,1266,1353,1299,1396,1365,1349,1368,1390,1205,1286,1254,1170,1193,1073,1120,1113,1240,1168,1222,1191,1093,1121
LTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4835,5586,4945,4797,5473,6269,6173,5607,5912,5958,5784,5889,5469,5720,4930,5433,5129,5114,4511,4818,5009,5104
BRB,123,128,131,128,126,132,143,138,142,152,166,163,169,172,162,169,174,195,180,197,191,192,206,205,202,213,219,222,220,215,228,205,195,212,210,213,224,206,228,203,215,210,219,210,233,231,245,250,242,243,235,233,235
QAT,9107,9693,10061,11843,12608,12987,12596,14132,15346,16185,17205,18124,18688,19454,21701,23595,24010,26496,28400,26577,27749,28478,29147,29841,30306,31920,33351,34775,37580,36020,37266,39737,40063,38954,44226,43408,42133,40087,42814,43995,44949,44932,43750,44370,45218,45424,45558,47029,46645,46507,48649,48116,48589
LBN,1188,1229,1268,1397,1346,1407,1435,1484,1469,1535,1634,1785,1593,1635,1631,1574,1828,1830,1896,1965,2047,2061,2198,2140,2219,2394,2564,2628,2766,2881,3048,3095,3167,3312,3581,3744,3788,3495,3653,3531,3450,3645,3736,3888,3849,3672,3905,3887,3744,3865,4008,4204,4344
ZWE,1631,1751,1739,1867,1970,1995,2102,2220,2244,2357,2525,2675,2600,2772,2787,2897,2816,2798,2934,3110,3164,3131,3146,3243,3231,3247,3262,3360,3451,3481,3432,3466,3557,3611,3596,3897,4001,4079,4053,4179,4293,4059,4060,4108,4035,4291,4274,4245,4468,4650,4845,4957,4893
CAN,27232,30169,31257,30714,32185,34198,33535,34183,38534,38697,39789,36594,38564,38520,39393,38499,40494,39748,41357,40723,42442,41766,42112,40436,44454,44515,46473,44064,46093,46030,44489,45150,51505,51222,51674,53401,53436,56642,56600,56122,55348,55580,58864,56977,57631,55479,58446,57122,53444,52039,52963,54504,60085
BOL,1747,1806,1926,1881,2041,2092,2194,2328,2323,2481,2625,2644,2649,2853,3055,3133,3011,3028,3069,3251,3301,3262,2712,3234,3628,3720,3862,3833,3837,3676,3955,3819,4060,3943,4247,4359,4502,4454,4948,4962,4989,5227,5134,5004,5333,5382,5541,5804,5733,5935,6068,6171,6758
PER,5680,5951,5910,6627,7015,7349,7686,7293,8147,8481,8811,8326,8723,8766,9370,9982,9675,9167,10357,8800,9540,10147,9145,9872,10054,11389,12176,12416,11365,10090,10743,10639,11076,11992,13032,13508,14136,14909,15238,16714,15650,16186,16285,16456,17366,18420,18896,19871,20667,21688,22016,23191,23867
PYF,49,51,52,59,64,79,79,83,78,86,83,84,87,94,92,95,96,95,105,105,111,114,117,124,125,132,131,136,134,142,145,152,153,156,163,163,163,168,168,174,177,182,188,188,196,194,207,205,201,201,202,209,206
